name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
ITC Infotech In...,3.6,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 42 more",23 years old,5k-10k Employees (India)
Paras Hospital,4.7,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 28 more",17 years old,5k-10k Employees (India)
Utkarsh Small Fi...,3.9,(2.1k Reviews),Public,"Varanasi,Uttar Pradesh + 255 more",14 years old,10k-50k Employees (India)
Access Healthcar...,4.0,(2.1k Reviews),Private,"Dallas,Texas + 17 more",12 years old,1k-5k Employees (India)
Suzlon Group,4.1,(2k Reviews),Public,"Pune,Maharashtra + 95 more",28 years old,5k-10k Employees (India)
Ceat Tyres,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 95 more",65 years old,5k-10k Employees (India)
Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 93 more",71 years old,5k-10k Employees (India)
Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 207 more",64 years old,10k-50k Employees (India)
Berger Paints,3.7,(2k Reviews),Public,"Kolkata,West Bengal + 199 more",100 years old,1k-5k Employees (India)
RSPL Group,4.1,(2k Reviews),Private,"Mumbai,Maharashtra + 157 more",36 years old,1k-5k Employees (India)
HDFC Ergo Genera...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 199 more",21 years old,5k-10k Employees (India)
