name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
RBL Bank,3.7,(2k Reviews),Public,"Mumbai,Maharashtra + 191 more",80 years old,1k-5k Employees (India)
Simplex Infrastr...,3.4,(2k Reviews),Public,"Kolkata,West Bengal + 125 more",99 years old,1k-5k Employees (India)
ACC,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 193 more",87 years old,5k-10k Employees (India)
Dabur,3.9,(2k Reviews),Public,"Ghaziabad,Uttar Pradesh + 216 more",139 years old,5k-10k Employees (India)
PNB MetLife,3.5,(2k Reviews),Private,"Mumbai,Maharashtra + 276 more",22 years old,5k-10k Employees (India)
PolicyBazaar,3.5,(2k Reviews),Public,"Gurgaon,Haryana + 56 more",15 years old,5k-10k Employees (India)
JK Cement,4.1,(2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 196 more",49 years old,1k-5k Employees (India)
Kotak Mahindara ...,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 183 more",22 years old,10k-50k Employees (India)
Titan Company,4.4,(2k Reviews),Public,"Mumbai,Maharashtra + 128 more",5 years old,5k-10k Employees (India)
Bajaj Electrical...,4.1,(2k Reviews),Public,"Mumbai,Maharashtra + 173 more",85 years old,1k-5k Employees (India)
Carelon Global S...,4.1,(2k Reviews),Hyderabad/Secunderabad + 8 more,,,
Arvind Group,4.2,(2k Reviews),Public,"Ahmedabad,Gujrat + 119 more",92 years old,10k-50k Employees (India)
GeBBS Healthcare...,3.8,(2k Reviews),Private,"Culver City,California + 11 more",18 years old,5k-10k Employees (India)
Cogent E Service...,3.3,(2k Reviews),Private,"Noida,Uttar Pradesh + 27 more",19 years old,10k-50k Employees (India)
IndiGo,3.6,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 78 more",17 years old,10k-50k Employees (India)
KocharTech,4.2,(2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",28 years old,1k-5k Employees (India)
Torrent Pharmace...,4.0,(2k Reviews),Public,"Ahmedabad,Gujrat + 86 more",52 years old,10k-50k Employees (India)
Reliance Digital,4.2,(1.9k Reviews),Private,"Mumbai,Maharashtra + 268 more",16 years old,5k-10k Employees (India)
Wipro Enterprise...,3.9,(1.9k Reviews),Bangalore + 71 more,78 years old,501-1k Employees (India),
Dilip Buildcon,4.0,(1.9k Reviews),Public,"Bhopal,Madhya Pradesh + 165 more",36 years old,10k-50k Employees (India)
Huawei Technolog...,3.9,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 91 more",21 years old,1k-5k Employees (India)
Aakash Education...,3.7,(1.9k Reviews),Private,"New Delhi,Delhi + 178 more",35 years old,10k-50k Employees (India)
Tractors and Far...,4.2,(1.9k Reviews),Public,"Chennai,Tamil Nadu + 148 more",63 years old,5k-10k Employees (India)
Lava Internation...,4.1,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 204 more",14 years old,1k-5k Employees (India)
Jubilant Foods W...,3.9,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 160 more",28 years old,10k-50k Employees (India)
Apollo Tyres,4.1,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 140 more",51 years old,1k-5k Employees (India)
UPL,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 135 more",54 years old,1k-5k Employees (India)
KPIT Technologie...,3.6,(1.9k Reviews),Public,"Pune,Maharashtra + 22 more",33 years old,5k-10k Employees (India)
Dominos Pizza,4.0,(1.9k Reviews),Public,"Ypsilanti,Michigan + 200 more",63 years old,1k-5k Employees (India)
Capita,3.9,(1.9k Reviews),Private,"Indore,Madhya Pradesh + 19 more",18 years old,5k-10k Employees (India)
McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 125 more",68 years old,5k-10k Employees (India)
Flex,4.1,(1.9k Reviews),Private,San Jose + 33 more,54 years old,10k-50k Employees (India)
Tata AIG,4.2,(1.9k Reviews),Private,"Mumbai,Maharashtra + 196 more",23 years old,5k-10k Employees (India)
Taj Hotels Resor...,4.3,(1.8k Reviews),"Mumbai,Maharashtra + 83 more",120 years old,10k-50k Employees (India),
Patanjali Ayurve...,4.1,(1.8k Reviews),Private,"Haridwar,Uttarakhand + 238 more",17 years old,5k-10k Employees (India)
Reliance SMSL,4.0,(1.8k Reviews),Public,Mumbai + 427 more,16 years old,1k-5k Employees (India)
Synechron,4.1,(1.8k Reviews),Private,"New York,New York + 18 more",22 years old,5k-10k Employees (India)
State Street Syn...,3.7,(1.8k Reviews),Private,Mumbai + 14 more,19 years old,501-1k Employees (India)
AFCONS Infrastru...,4.4,(1.8k Reviews),Partnership,"Mumbai,Maharashtra + 76 more",64 years old,10k-50k Employees (India)
Birlasoft,3.8,(1.8k Reviews),Public,"Pune,Maharashtra + 29 more",28 years old,10k-50k Employees (India)
S&P Global,4.2,(1.8k Reviews),Public,"New York City,New York + 17 more",106 years old,5k-10k Employees (India)
Statestreet HCL ...,3.3,(1.8k Reviews),Private,New Delhi + 11 more,11 years old,5k-10k Employees (India)
Max Healthcare,4.2,(1.8k Reviews),Partnership,"Delhi/NCR,New Delhi + 51 more",22 years old,1k-5k Employees (India)
Lenskart,3.2,(1.8k Reviews),Private,"Faridabad,Haryana + 135 more",13 years old,1k-5k Employees (India)
Marpu Foundation...,4.9,(1.8k Reviews),Hyderabad/Secunderabad + 33 more,7 years old,11-50 Employees (India),
Mankind Pharma,4.2,(1.8k Reviews),Private,"New Delhi,Delhi + 163 more",28 years old,5k-10k Employees (India)
Tech Mahindra Bu...,3.5,(1.8k Reviews),Public,"Mumbai,Maharashtra + 37 more",20 years old,1k-5k Employees (India)
AGS Health,4.0,(1.8k Reviews),Private,Washington DC + 29 more,12 years old,10k-50k Employees (India)
Walmart,4.1,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 71 more",14 years old,5k-10k Employees (India)
Zensar Technolog...,3.8,(1.8k Reviews),Public,"Pune,Maharashtra + 19 more",22 years old,5k-10k Employees (India)
Square Yards,3.8,(1.8k Reviews),Private,"Gurgaon,Haryana + 37 more",10 years old,1k-5k Employees (India)
Nestle,4.1,(1.7k Reviews),Public,Vevey + 202 more,64 years old,1 Lakh+ Employees (India)
Fortis Healthcar...,4.0,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 53 more",27 years old,5k-10k Employees (India)
Blue Dart Expres...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 212 more",40 years old,10k-50k Employees (India)
Landmark Group,4.1,(1.7k Reviews),Private,"Dubai Marina,Dubai + 125 more",50 years old,1k-5k Employees (India)
Tata Technologie...,3.7,(1.7k Reviews),Private,Singapore + 41 more,34 years old,5k-10k Employees (India)
Ola Cabs,3.6,(1.7k Reviews),Private,Bangalore + 87 more,13 years old,501-1k Employees (India)
Fiserv,3.7,(1.7k Reviews),Private,"Brookfield,Wisconsin + 25 more",39 years old,5k-10k Employees (India)
Future Retail,4.3,(1.7k Reviews),Public,"San Francisco,California + 190 more",36 years old,10k-50k Employees (India)
Birla Sun Life I...,4.2,(1.7k Reviews),Private,"Mumbai,Maharashtra + 318 more",23 years old,10k-50k Employees (India)
Lifestyle,4.4,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 100 more",24 years old,10k-50k Employees (India)
I Process Servic...,3.9,(1.7k Reviews),Private,"Mumbai,Maharashtra + 240 more",18 years old,1k-5k Employees (India)
Eureka Forbes,4.0,(1.7k Reviews),Private,"Mumbai,Maharashtra + 150 more",41 years old,5k-10k Employees (India)
Rivigo,3.9,(1.7k Reviews),Private,"Gurgaon,Haryana + 145 more",9 years old,1k-5k Employees (India)
HDFC Sales,4.0,(1.7k Reviews),Private,"Mumbai,Maharashtra + 243 more",19 years old,10k-50k Employees (India)
JMC Projects,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 108 more",41 years old,1k-5k Employees (India)
Societe Generale,3.8,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",23 years old,1k-5k Employees (India)
The Himalaya Dru...,4.1,(1.7k Reviews),Private,"San Francisco,California + 174 more",93 years old,1k-5k Employees (India)
IGT Solutions,3.5,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",25 years old,5k-10k Employees (India)
BlackBuck,3.9,(1.7k Reviews),Private,"Bangalore,Karnataka + 256 more",8 years old,501-1k Employees (India)
Extramarks Educa...,3.6,(1.7k Reviews),Private,"Noida,Uttar Pradesh + 93 more",16 years old,1k-5k Employees (India)
Voltas,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 150 more",69 years old,5k-10k Employees (India)
UNO Minda,4.0,(1.7k Reviews),Gurgaon + 73 more,65 years old,201-500 Employees (India),
Radisson Hotels,4.0,(1.7k Reviews),Private,"Minnetonka,Minnesota + 92 more",114 years old,10k-50k Employees (India)
Micro Labs,3.7,(1.7k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 103 more",50 years old,10k-50k Employees (India)
G4S,4.0,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 112 more",27 years old,1 Lakh+ Employees (India)
Tata Teleservice...,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 143 more",27 years old,201-500 Employees (India)
Coforge,3.6,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 27 more",19 years old,10k-50k Employees (India)
State Street Cor...,3.8,(1.6k Reviews),Private,"Boston,Massachusetts + 13 more",231 years old,10k-50k Employees (India)
Exide Industries,3.6,(1.6k Reviews),Public,"Kolkata,West Bengal + 167 more",76 years old,1k-5k Employees (India)
Aditya Birla Gro...,4.2,(1.6k Reviews),"Mumbai,Maharashtra + 206 more",166 years old,10k-50k Employees (India),
TVS Supply Chain...,3.9,(1.6k Reviews),"Chennai,Tamil Nadu + 118 more",127 years old,1k-5k Employees (India),
Bajaj Allianz Ge...,4.1,(1.6k Reviews),Pune + 173 more,5k-10k Employees (India),,
Britannia,4.1,(1.6k Reviews),Public,"Reading,Reading + 187 more",131 years old,5k-10k Employees (India)
ElasticRun,3.5,(1.6k Reviews),Private,"Pune,Maharashtra + 291 more",7 years old,1k-5k Employees (India)
Ajanta Pharma,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 86 more",50 years old,1k-5k Employees (India)
Life Insurance C...,4.3,(1.6k Reviews),Private,Mumbai + 380 more,67 years old,1 Lakh+ Employees (India)
ACT Fibernet,4.1,(1.6k Reviews),Private,"Bengaluru/Bangalore,Karnataka + 40 more",23 years old,5k-10k Employees (India)
PepsiCo,4.1,(1.6k Reviews),Private,"Harrison,New York + 188 more",34 years old,1k-5k Employees (India)
Pfizer,4.1,(1.6k Reviews),Public,"Chennai,Tamil Nadu + 107 more",19 years old,5k-10k Employees (India)
R.R. Donnelley,4.1,(1.6k Reviews),Private,"Chicago,Illinois + 11 more",159 years old,5k-10k Employees (India)
Mahindra Rural H...,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 363 more",16 years old,5k-10k Employees (India)
Delhi Public Sch...,3.9,(1.6k Reviews),Public,"Greater Noida,Uttar Pradesh + 219 more",25 years old,1k-5k Employees (India)
Cholamandalam MS...,3.9,(1.6k Reviews),JV,"Chennai,Tamil Nadu + 301 more",22 years old,1k-5k Employees (India)
Grasim Industrie...,4.0,(1.6k Reviews),Public,Nagda + 69 more,76 years old,10k-50k Employees (India)
Shree Cement,4.1,(1.6k Reviews),Public,"Kolkata,West Bengal + 155 more",44 years old,5k-10k Employees (India)
Blue Star,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 119 more",80 years old,1k-5k Employees (India)
Dalmia Bharat Ce...,4.1,(1.5k Reviews),Public,"Delhi/NCR,New Delhi + 160 more",88 years old,5k-10k Employees (India)
Sterlite Technol...,3.9,(1.5k Reviews),Public,"Pune,Maharashtra + 62 more",35 years old,1k-5k Employees (India)
TVS Credit,4.3,(1.5k Reviews),Public,"Chennai,Tamil Nadu + 229 more",15 years old,10k-50k Employees (India)
Renault-Nissan,4.1,(1.5k Reviews),Private,"Chennai,Tamil Nadu + 69 more",16 years old,10k-50k Employees (India)
CG Power and Ind...,3.8,(1.5k Reviews),Public,"Mumbai,Maharashtra + 95 more",86 years old,1k-5k Employees (India)
Samsung Electron...,4.1,(1.5k Reviews),Noida + 184 more,,,
Sonalika Tractor...,3.8,(1.5k Reviews),Private,"Hoshiarpur,Punjab + 129 more",54 years old,1k-5k Employees (India)
Emcure Pharmaceu...,3.8,(1.5k Reviews),Private,Pune + 80 more,42 years old,5k-10k Employees (India)
Yazaki,3.8,(1.5k Reviews),Private,"Tokyo,Tokyo + 49 more",82 years old,10k-50k Employees (India)
Johnson Controls,3.5,(1.5k Reviews),Public,Cork + 41 more,28 years old,5k-10k Employees (India)
Kalyan Jewellers,4.8,(1.5k Reviews),Private,Bengaluru/Bangalore + 121 more,30 years old,5k-10k Employees (India)
HCL Infosystems,4.0,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 103 more",47 years old,10k-50k Employees (India)
Mahindra Logisti...,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 107 more",23 years old,1k-5k Employees (India)
PVR Cinemas,4.2,(1.5k Reviews),Public,Gurgaon + 92 more,26 years old,5k-10k Employees (India)
IKS Health,3.6,(1.5k Reviews),Private,"Mumbai,Maharashtra + 9 more",16 years old,5k-10k Employees (India)
Croma,4.2,(1.5k Reviews),Private,"Mumbai,Maharashtra + 109 more",17 years old,1k-5k Employees (India)
BHEL,4.3,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 92 more",59 years old,10k-50k Employees (India)
Raymond,4.1,(1.5k Reviews),Public,New York + 113 more,98 years old,5k-10k Employees (India)
V-Mart,4.3,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 216 more",21 years old,5k-10k Employees (India)
Datamatics Globa...,3.6,(1.5k Reviews),Public,"Mumbai,Maharashtra + 22 more",48 years old,1k-5k Employees (India)
XpressBees,3.8,(1.5k Reviews),Private,"Pune,Maharashtra + 194 more",8 years old,1k-5k Employees (India)
DS Group,4.0,(1.5k Reviews),Private,"Noida,Uttar Pradesh + 149 more",94 years old,1k-5k Employees (India)
Mahindra Holiday...,3.7,(1.5k Reviews),Private,"Mumbai,Maharashtra + 89 more",27 years old,5k-10k Employees (India)
Poonawalla Finco...,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 241 more",35 years old,5k-10k Employees (India)
Parle Agro,4.2,(1.5k Reviews),Private,"Mumbai,Maharashtra + 160 more",39 years old,1k-5k Employees (India)
Ambuja Cements,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 173 more",40 years old,5k-10k Employees (India)
Indus Towers,4.0,(1.4k Reviews),Private,"Gurgaon,Haryana + 120 more",16 years old,1k-5k Employees (India)
Zomato,3.7,(1.4k Reviews),Public,"Gurgaon,Haryana + 155 more",15 years old,10k-50k Employees (India)
Indian Railways,4.1,(1.4k Reviews),Govt Organisation,"Delhi/NCR,Delhi + 188 more",170 years old,1 Lakh+ Employees (India)
Kalpataru Power ...,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 185 more",42 years old,1k-5k Employees (India)
Barclays,4.1,(1.4k Reviews),Private,London + 23 more,333 years old,10k-50k Employees (India)
Shriram City,4.1,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 400 more",37 years old,10k-50k Employees (India)
SRF,4.3,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 40 more",53 years old,1k-5k Employees (India)
Whirlpool,4.1,(1.4k Reviews),Public,Michigan + 127 more,112 years old,1k-5k Employees (India)
Force Motors,3.4,(1.4k Reviews),Public,"Pune,Maharashtra + 75 more",65 years old,1k-5k Employees (India)
Sterling & Wilso...,4.1,(1.4k Reviews),Private,Mumbai + 73 more,96 years old,5k-10k Employees (India)
Cybage,4.0,(1.4k Reviews),Private,"Pune,Maharashtra + 6 more",28 years old,5k-10k Employees (India)
Reliance Trends,4.3,(1.4k Reviews),Private,"Navi Mumbai,Maharashtra + 286 more",17 years old,1 Lakh+ Employees (India)
Shahi Exports,4.0,(1.4k Reviews),Private,"Faridabad,Haryana + 51 more",49 years old,1 Lakh+ Employees (India)
Kansai Nerolac P...,3.9,(1.4k Reviews),Public,"Mumbai,Maharashtra + 134 more",103 years old,1k-5k Employees (India)
Cadila Pharmaceu...,3.3,(1.4k Reviews),Public,"Ahmedabad,Gujrat + 93 more",72 years old,5k-10k Employees (India)
ITC Hotels,4.1,(1.4k Reviews),Public,"Kolkata,West Bengal + 67 more",48 years old,5k-10k Employees (India)
Myntra,4.1,(1.4k Reviews),Private,"Bangalore,Karnataka + 88 more",16 years old,1k-5k Employees (India)
ICICI Securities,3.8,(1.4k Reviews),Public,"Mumbai,Maharashtra + 111 more",28 years old,5k-10k Employees (India)
Taurus BPO Serv...,4.7,(1.4k Reviews),LLP,"Pune,Indore + 10 more",8 years old,1k-5k Employees (India)
Info Edge,4.1,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 52 more",28 years old,1k-5k Employees (India)
BT Group,4.2,(1.4k Reviews),Private,London + 14 more,177 years old,10k-50k Employees (India)
Shell,4.3,(1.4k Reviews),Public,"London,England + 72 more",19 years old,10k-50k Employees (India)
Bharti AXA Life ...,3.9,(1.4k Reviews),Private,Mumbai + 210 more,17 years old,5k-10k Employees (India)
Endurance Techno...,3.8,(1.4k Reviews),Public,"Aurangabad,Maharashtra + 34 more",38 years old,1k-5k Employees (India)
Brakes India,4.0,(1.4k Reviews),Partnership,"Chennai,Tamil Nadu + 66 more",61 years old,1k-5k Employees (India)
3i Infotech,3.6,(1.4k Reviews),Public,"Mumbai,Maharashtra + 92 more",30 years old,5k-10k Employees (India)
Blinkit,3.8,(1.4k Reviews),Private,"Gurgaon,Haryana + 56 more",10 years old,5k-10k Employees (India)
Delphi TVS,4.0,(1.4k Reviews),Private,"Kanchipuram,Tamil Nadu + 26 more",34 years old,1k-5k Employees (India)
JCB,4.0,(1.4k Reviews),Private,"Rocester,Staffordshire + 76 more",78 years old,1k-5k Employees (India)
Lodha group,4.1,(1.4k Reviews),Private,"Mumbai,Maharashtra + 18 more",43 years old,1k-5k Employees (India)
JK Tyres,3.8,(1.3k Reviews),Private,New Delhi + 114 more,72 years old,1k-5k Employees (India)
Future Generali ...,3.8,(1.3k Reviews),Private,Mumbai + 151 more,16 years old,1k-5k Employees (India)
Sobha,4.0,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 32 more",28 years old,1k-5k Employees (India)
Bharat Petroleum,4.1,(1.3k Reviews),Private,"Mumbai,Maharashtra + 194 more",71 years old,5k-10k Employees (India)
Tata Motors Fina...,4.2,(1.3k Reviews),Private,"Mumbai,Maharashtra + 206 more",66 years old,1k-5k Employees (India)
café Coffee day,4.0,(1.3k Reviews),Private,"Bengaluru,Karnataka + 84 more",27 years old,10k-50k Employees (India)
Syngene Internat...,3.9,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",30 years old,1k-5k Employees (India)
Coromandel Inter...,4.1,(1.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 134 more",62 years old,5k-10k Employees (India)
Thomson Reuters,4.2,(1.3k Reviews),Private,Toronto + 22 more,15 years old,1k-5k Employees (India)
ZS,3.6,(1.3k Reviews),Private,"Evanston,Illinois + 5 more",40 years old,5k-10k Employees (India)
Indian Navy,4.6,(1.3k Reviews),Private,"Delhi/NCR,Delhi + 54 more",73 years old,50k-1 Lakh Employees (India)
Movate,3.7,(1.3k Reviews),"Plano,Texas + 22 more",27 years old,10k-50k Employees (Global),
Big Bazaar,4.3,(1.3k Reviews),Private,"Mumbai,Maharashtra + 149 more",22 years old,10k-50k Employees (India)
Gabriel India,4.2,(1.3k Reviews),Public,"Pune,Maharashtra + 33 more",62 years old,1k-5k Employees (India)
Aavas Financiers...,4.0,(1.3k Reviews),Public,"Jaipur,Rajasthan + 208 more",12 years old,5k-10k Employees (India)
Sopra Steria,4.1,(1.3k Reviews),Private,"Paris,Ile-de-France + 11 more",55 years old,5k-10k Employees (India)
Bureau Veritas,3.9,(1.3k Reviews),Private,"Paris La Défense,Hauts-de-Seine + 84 more",195 years old,1k-5k Employees (India)
Honda,4.1,(1.3k Reviews),Private,"Greater Noida,Uttar Pradesh + 180 more",38 years old,10k-50k Employees (India)
Fujitsu,4.0,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 20 more",88 years old,5k-10k Employees (India)
Care Health Insu...,3.8,(1.3k Reviews),Public,"Gurgaon,Haryana + 169 more",11 years old,5k-10k Employees (India)
GVK Emergency Ma...,3.8,(1.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 121 more",18 years old,10k-50k Employees (India)
Exide Life Insur...,3.8,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",22 years old,1k-5k Employees (India)
Ninjacart,3.9,(1.3k Reviews),Private,"Bangalore,Karnataka + 83 more",8 years old,1k-5k Employees (India)
Tata Elxsi,4.1,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 15 more",34 years old,10k-50k Employees (India)
Lucas-TVS,4.0,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 48 more",62 years old,1k-5k Employees (India)
CAMS,3.7,(1.3k Reviews),Chennai + 87 more,35 years old,5k-10k Employees (India),
